pair_id,smiles_A,smiles_B,source,transformation,analogs_generated,unique_analogs,B_recovered_exact,B_rank_by_tanimoto,best_tanimoto,top10_tanimoto_mean,smirks_that_recovered_B,runtime_s
CHEMBL_MMP_01669,COCc1c2ccoc2c(OC)c2oc(=O)ccc12,COc1c2occc2c(COCCCO)c2ccc(=O)oc12,ChEMBL-37/mmpdb,[*:1]OC>>[*:1]OCCCO,134,90,False,,0.8696,0.6901,,1.365
CHEMBL_MMP_01670,CCN1CCCC(c2cccc(O)c2)C1,Oc1cccc(C2CCCNC2)c1,ChEMBL-37/mmpdb,[*:1]CC>>[*:1][H],263,182,False,,0.5238,0.4901,,1.0116
CHEMBL_MMP_01671,Cc1c(CC(C)N)ccc2c1OCO2,CC(N)Cc1ccc2c(c1)OCO2,ChEMBL-37/mmpdb,[*:1]C>>[*:1][H],181,124,False,,0.5128,0.4846,,0.8173
CHEMBL_MMP_01672,Cc1ccc2c(Cl)c(C(=O)NCCCn3ccnc3)sc2c1,O=C(NCCCn1ccnc1)c1sc2ccccc2c1Cl,ChEMBL-37/mmpdb,[*:1]C>>[*:1][H],187,121,False,,0.7778,0.7243,,1.6487
CHEMBL_MMP_01673,COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1ccccc1Br,COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1ccccc1,ChEMBL-37/mmpdb,[*:1]Br>>[*:1][H],427,286,False,,0.75,0.6796,,1.9483
CHEMBL_MMP_01674,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(Br)cc3)cccc12,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(Cl)cc3)cccc12,ChEMBL-37/mmpdb,[*:1]Br>>[*:1]Cl,386,235,True,1,1.0,0.7025,HALO009,2.8922
CHEMBL_MMP_01675,COc1ccc2[nH]c(C)c(CCN(C)C)c2c1,Cc1[nH]c2ccccc2c1CCN(C)C,ChEMBL-37/mmpdb,[*:1]OC>>[*:1][H],173,119,False,,0.6316,0.6024,,1.3677
CHEMBL_MMP_01676,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)(C)C(C)C3=O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3=O,ChEMBL-37/mmpdb,[*:1]C>>[*:1][H],134,99,False,,0.7414,0.7162,,1.5024
CHEMBL_MMP_01677,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)C1CC1)OCO3,COCC(=O)N1N=C(c2ccc(N)cc2)c2cc3c(cc2CC1C)OCO3,ChEMBL-37/mmpdb,[*:1]C1CC1>>[*:1]COC,264,169,False,,0.7049,0.6739,,2.3041
CHEMBL_MMP_01678,CCOC(=O)c1cc2ccccn2c(=Nc2ccc(C)cc2)n1,CCOC(=O)c1cc2ccccn2c(=Nc2ccc(F)cc2)n1,ChEMBL-37/mmpdb,[*:1]C>>[*:1]F,191,116,True,1,1.0,0.8113,META023,1.0709
CHEMBL_MMP_01679,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,ChEMBL-37/mmpdb,[*:1]C>>[*:1]Cl,295,184,True,1,1.0,0.7345,RING_117;META024,1.79
CHEMBL_MMP_01680,COc1cccc(Oc2ccc(NC(C)=O)cc2)c1,C#CCC(=O)Nc1ccc(Oc2cccc(OC)c2)cc1,ChEMBL-37/mmpdb,[*:1]C>>[*:1]CC#C,327,210,False,,0.7381,0.6443,,1.6595
CHEMBL_MMP_01681,COC(=O)c1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)(C)C,CC(C)(C)NCC(O)COc1ccc(NC(=O)c2cccs2)cc1C(=O)O,ChEMBL-37/mmpdb,[*:1]C>>[*:1][H],272,173,True,1,1.0,0.8365,POLA017,1.7564
CHEMBL_MMP_01682,CN1CCN2CC(c3ccc(Cl)cc3)c3ccccc3C2C1,CN1CCN2CC(c3ccccc3)c3ccccc3C2C1,ChEMBL-37/mmpdb,[*:1]Cl>>[*:1][H],319,212,False,,1.0,0.7168,,2.1337
CHEMBL_MMP_01683,CN1CCCCC1CN1CCN(Cc2ccncc2)CC1,c1cc(CN2CCN(CC3CCCCN3)CC2)ccn1,ChEMBL-37/mmpdb,[*:1]C>>[*:1][H],121,97,False,,0.6087,0.559,,0.5115
CHEMBL_MMP_01684,CCCc1nc(Br)cnc1NS(=O)(=O)c1cccc2c(N(C)C)cccc12,CN(C)c1cccc2c(S(=O)(=O)Nc3cnc(Br)cn3)cccc12,ChEMBL-37/mmpdb,[*:1]CCC>>[*:1][H],329,207,False,,0.6071,0.5976,,2.2388
CHEMBL_MMP_01685,Cc1c2c(cc3c(-c4ccccc4F)noc13)CC(C(=O)O)O2,COc1c2c(cc3c(-c4ccccc4F)noc13)CC(C(=O)O)O2,ChEMBL-37/mmpdb,[*:1]C>>[*:1]OC,312,207,False,,0.7778,0.7239,,2.4118
CHEMBL_MMP_01686,CN(C)c1ncnc2c1ncn2Cc1ccccc1N,COc1ccccc1Cn1cnc2c(N(C)C)ncnc21,ChEMBL-37/mmpdb,[*:1]N>>[*:1]OC,229,145,False,,0.7174,0.6614,,1.0165
CHEMBL_MMP_01687,COc1ccc2c(c1)c(CCN(C)C)cn2C,COc1ccc2[nH]cc(CCN(C)C)c2c1,ChEMBL-37/mmpdb,[*:1]C>>[*:1][H],181,124,False,,0.5217,0.4861,,1.5515
CHEMBL_MMP_01688,CC1(C)N=C(N)N=C(N)N1c1ccc(Br)cc1,CC1(C)N=C(N)N=C(N)N1c1ccccc1,ChEMBL-37/mmpdb,[*:1]Br>>[*:1][H],133,86,False,,0.7059,0.6033,,0.8663
CHEMBL_MMP_01689,CN1CCCC(c2cccc(O)c2)C1,CCN1CCCC(c2cccc(O)c2)C1,ChEMBL-37/mmpdb,[*:1]C>>[*:1]CC,264,180,True,1,1.0,0.6717,AMINE_010;STER_009;META025;META033,1.0157
CHEMBL_MMP_01690,COc1cc(CC(C)N)c(OC)cc1I,COc1cc(OC)c(OC)cc1CC(C)N,ChEMBL-37/mmpdb,[*:1]I>>[*:1]OC,196,137,False,,0.6471,0.6267,,1.2202
CHEMBL_MMP_01691,CCOC(=O)C(=O)C=C1C=C(OC)C=C(O)O1,COC1=CC(=CC(=O)C(=O)O)OC(O)=C1,ChEMBL-37/mmpdb,[*:1]CC>>[*:1][H],119,82,False,,0.675,0.6494,,0.1687
CHEMBL_MMP_01692,CCc1nc(O)c2c(n1)Nc1ccccc1C2,Oc1ncnc2c1Cc1ccccc1N2,ChEMBL-37/mmpdb,[*:1]CC>>[*:1][H],199,129,False,,0.6,0.5692,,0.9938
CHEMBL_MMP_01693,O=C(C=Cc1ccc(Cl)c(Cl)c1)c1ccc(O)cc1,O=C(C=Cc1cccc(Cl)c1)c1ccc(O)cc1,ChEMBL-37/mmpdb,[*:1]Cl>>[*:1][H],282,182,False,,1.0,0.6426,,1.9645
CHEMBL_MMP_01694,NC(=O)c1cc(-c2ccncc2)nnc1Cl,NC(=O)c1cnnc(-c2ccncc2)c1,ChEMBL-37/mmpdb,[*:1]Cl>>[*:1][H],71,47,False,,1.0,0.4886,,0.1287
CHEMBL_MMP_01695,CCCc1cc(OC)c(CC(C)N)cc1OC,COc1cc(CC(C)N)c(OC)cc1Cl,ChEMBL-37/mmpdb,[*:1]CCC>>[*:1]Cl,216,155,False,,0.6765,0.6216,,1.0759
